ticket_number,client_id,description,resolution,time_to_resolve,stakeholders,it_closed_no_followup
TK-1001,A100,Customer forgot their MowerConnect app password and was locked out of the mobile app.,Sent a password reset link and the customer confirmed they regained access. No further contact needed.,8m,IT Support,yes
TK-1002,A101,The app would not pair with the mower over wifi after the customer upgraded their phone.,Walked the customer through re-pairing in app settings and the connection was restored.,15m,IT Support,yes
TK-1003,A102,A firmware update for the robotic mower kept failing at about 40 percent.,Cleared the app cache and re-ran the software update over a stable wifi connection; firmware installed successfully.,22m,IT Support,yes
TK-1004,A103,Customer account was locked after several failed login attempts.,Verified the customer's identity and unlocked the account; advised using a password manager.,10m,IT Support,yes
TK-1005,A104,The mower left streaks of uncut grass along one edge of the lawn.,Adjusted the cutting height and the overlap setting and advised a seasonal blade replacement.,18m,Technical Support,no
TK-1006,A105,Customer reported that the blade disc detached during operation and caused a minor injury to their foot. They mentioned contacting a lawyer.,Logged a safety incident and escalated; advised the customer their representative should contact our legal team.,3d,Technical Support; Legal; Management,no
TK-1007,A106,Customer was double charged for an annual subscription and escalated to a manager demanding a refund.,Confirmed the duplicate charge, refunded one subscription, and a manager approved a goodwill credit.,2d,Billing; Management,no
TK-1008,A107,Unit arrived dead on arrival; customer wants a warranty replacement and a refund of the shipping cost.,Issued an RMA for the defective unit and a shipping credit through billing.,1d,Warranty; Billing,no
TK-1009,A108,Customer submitted a formal data deletion request citing GDPR and asked what personal data we hold.,Acknowledged the request and routed it to compliance for handling within the legal window.,4h,Legal,no
TK-1011,A110,Customer asked about trade-in pricing to upgrade to a larger-area mower model.,Provided current upgrade pricing and a trade-in quote; customer is considering it.,12m,Sales,no
TK-1012,A100,Same customer reported the app crashed on opening right after the latest update.,Reinstalled the app and the crash was resolved; confirmed normal operation. No further contact.,9m,IT Support,yes
